2017/11/16 15:47:54 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:54 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:58 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:58 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:47:58 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:47:58 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:58 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:58 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:58 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:59 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:47:59 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:47:59 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:59 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:47:59 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:48:03 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:48:03 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:48:03 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:48:03 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:48:03 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:48:03 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:48:04 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:48:04 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:48:13 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:48:13 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:48:13 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:48:13 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:48:13 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_ADD] 23
2017/11/16 15:57:01 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:57:01 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_ADD] 41
2017/11/16 15:57:01 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:57:01 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
2017/11/16 15:57:01 ZEBRA: zebra message received [ZEBRA_IPV4_ROUTE_DELETE] 19
2017/11/16 15:57:02 ZEBRA: zebra message received [ZEBRA_IPV6_ROUTE_DELETE] 41
